
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 31-Jan-2025 at 19:54:57.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.5600   1.1019644E+06   1.1054374E+06   1.1035035E+06   9.0342794E+05   9.0531481E+05   9.0577169E+05
    0.5650   1.1019254E+06   1.1054560E+06   1.1034049E+06   9.0333338E+05   9.0526912E+05   9.0574956E+05
    0.5700   1.1018840E+06   1.1054766E+06   1.1033056E+06   9.0323919E+05   9.0522419E+05   9.0572719E+05
    0.5750   1.1018405E+06   1.1054994E+06   1.1032056E+06   9.0314531E+05   9.0518006E+05   9.0570456E+05
    0.5800   1.1017948E+06   1.1055241E+06   1.1031050E+06   9.0305169E+05   9.0513688E+05   9.0568162E+05
    0.5850   1.1017469E+06   1.1055509E+06   1.1030035E+06   9.0295825E+05   9.0509475E+05   9.0565844E+05
    0.5900   1.1016968E+06   1.1055799E+06   1.1029011E+06   9.0286494E+05   9.0505362E+05   9.0563488E+05
    0.5950   1.1016445E+06   1.1056110E+06   1.1027979E+06   9.0277175E+05   9.0501369E+05   9.0561100E+05
    0.6000   1.1015902E+06   1.1056441E+06   1.1026935E+06   9.0267856E+05   9.0497500E+05   9.0558675E+05
    0.6050   1.1015341E+06   1.1056795E+06   1.1025880E+06   9.0258531E+05   9.0493762E+05   9.0556206E+05
    0.6100   1.1014760E+06   1.1057169E+06   1.1024815E+06   9.0249212E+05   9.0490156E+05   9.0553700E+05
    0.6150   1.1014160E+06   1.1057562E+06   1.1023738E+06   9.0239881E+05   9.0486700E+05   9.0551144E+05
    0.6200   1.1013542E+06   1.1057976E+06   1.1022650E+06   9.0230550E+05   9.0483388E+05   9.0548538E+05
    0.6250   1.1012909E+06   1.1058410E+06   1.1021550E+06   9.0221212E+05   9.0480231E+05   9.0545875E+05
    0.6300   1.1012258E+06   1.1058862E+06   1.1020439E+06   9.0211875E+05   9.0477231E+05   9.0543144E+05
    0.6350   1.1011591E+06   1.1059334E+06   1.1019316E+06   9.0202544E+05   9.0474394E+05   9.0540344E+05
    0.6400   1.1010908E+06   1.1059822E+06   1.1018185E+06   9.0193219E+05   9.0471725E+05   9.0537456E+05
