
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 30-Sep-2024 at 16:57:35.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.8900   1.0877155E+06   1.1490931E+06   1.0890219E+06   8.9366244E+05   9.3687612E+05   8.9577575E+05
    0.8950   1.0874640E+06   1.1495769E+06   1.0888202E+06   8.9352956E+05   9.3725312E+05   8.9553475E+05
    0.9000   1.0872109E+06   1.1500618E+06   1.0886172E+06   8.9339462E+05   9.3763531E+05   8.9529181E+05
    0.9050   1.0869561E+06   1.1505478E+06   1.0884129E+06   8.9325750E+05   9.3802281E+05   8.9504694E+05
    0.9100   1.0866999E+06   1.1510349E+06   1.0882071E+06   8.9311812E+05   9.3841556E+05   8.9480025E+05
    0.9150   1.0864422E+06   1.1515230E+06   1.0879998E+06   8.9297631E+05   9.3881375E+05   8.9455181E+05
    0.9200   1.0861835E+06   1.1520121E+06   1.0877908E+06   8.9283206E+05   9.3921725E+05   8.9430169E+05
    0.9250   1.0859238E+06   1.1525020E+06   1.0875801E+06   8.9268531E+05   9.3962619E+05   8.9404994E+05
    0.9300   1.0856631E+06   1.1529928E+06   1.0873675E+06   8.9253594E+05   9.4004050E+05   8.9379662E+05
    0.9350   1.0854019E+06   1.1534844E+06   1.0871529E+06   8.9238388E+05   9.4046019E+05   8.9354194E+05
    0.9400   1.0851402E+06   1.1539765E+06   1.0869360E+06   8.9222912E+05   9.4088519E+05   8.9328588E+05
    0.9450   1.0848785E+06   1.1544694E+06   1.0867169E+06   8.9207150E+05   9.4131550E+05   8.9302850E+05
    0.9500   1.0846168E+06   1.1549629E+06   1.0864951E+06   8.9191100E+05   9.4175112E+05   8.9277000E+05
    0.9550   1.0843555E+06   1.1554569E+06   1.0862706E+06   8.9174762E+05   9.4219200E+05   8.9251044E+05
    0.9600   1.0840948E+06   1.1559515E+06   1.0860430E+06   8.9158119E+05   9.4263800E+05   8.9224981E+05
    0.9650   1.0838350E+06   1.1564462E+06   1.0858124E+06   8.9141175E+05   9.4308906E+05   8.9198838E+05
    0.9700   1.0835764E+06   1.1569418E+06   1.0855781E+06   8.9123925E+05   9.4354519E+05   8.9172612E+05
    0.9750   1.0833191E+06   1.1574374E+06   1.0853404E+06   8.9106356E+05   9.4400625E+05   8.9146312E+05
    0.9800   1.0830636E+06   1.1579336E+06   1.0850986E+06   8.9088475E+05   9.4447212E+05   8.9119956E+05
    0.9850   1.0828100E+06   1.1584302E+06   1.0848529E+06   8.9070269E+05   9.4494275E+05   8.9093544E+05
    0.9900   1.0825584E+06   1.1589271E+06   1.0846029E+06   8.9051738E+05   9.4541800E+05   8.9067088E+05
    0.9950   1.0823092E+06   1.1594246E+06   1.0843484E+06   8.9032881E+05   9.4589781E+05   8.9040600E+05
    1.0000   1.0820624E+06   1.1599224E+06   1.0840892E+06   8.9013694E+05   9.4638200E+05   8.9014075E+05
    1.0050   1.0818182E+06   1.1604208E+06   1.0838254E+06   8.8994175E+05   9.4687056E+05   8.8987531E+05
    1.0100   1.0815768E+06   1.1609196E+06   1.0835566E+06   8.8974325E+05   9.4736331E+05   8.8960975E+05
    1.0150   1.0813380E+06   1.1614191E+06   1.0832829E+06   8.8954144E+05   9.4786019E+05   8.8934406E+05
    1.0200   1.0811021E+06   1.1619191E+06   1.0830042E+06   8.8933625E+05   9.4836100E+05   8.8907838E+05
    1.0250   1.0808690E+06   1.1624199E+06   1.0827204E+06   8.8912775E+05   9.4886569E+05   8.8881262E+05
    1.0300   1.0806388E+06   1.1629215E+06   1.0824315E+06   8.8891588E+05   9.4937412E+05   8.8854688E+05
    1.0350   1.0804114E+06   1.1634236E+06   1.0821375E+06   8.8870069E+05   9.4988612E+05   8.8828125E+05
    1.0400   1.0801868E+06   1.1639269E+06   1.0818386E+06   8.8848225E+05   9.5040175E+05   8.8801562E+05
    1.0450   1.0799646E+06   1.1644309E+06   1.0815346E+06   8.8826050E+05   9.5092069E+05   8.8775012E+05
    1.0500   1.0797451E+06   1.1649360E+06   1.0812259E+06   8.8803550E+05   9.5144300E+05   8.8748469E+05
    1.0550   1.0795280E+06   1.1654422E+06   1.0809124E+06   8.8780725E+05   9.5196850E+05   8.8721938E+05
    1.0600   1.0793131E+06   1.1659495E+06   1.0805942E+06   8.8757581E+05   9.5249706E+05   8.8695412E+05
    1.0650   1.0791004E+06   1.1664582E+06   1.0802716E+06   8.8734119E+05   9.5302862E+05   8.8668894E+05
    1.0700   1.0788894E+06   1.1669681E+06   1.0799448E+06   8.8710344E+05   9.5356312E+05   8.8642375E+05
    1.0750   1.0786801E+06   1.1674795E+06   1.0796138E+06   8.8686262E+05   9.5410038E+05   8.8615862E+05
    1.0800   1.0784724E+06   1.1679924E+06   1.0792789E+06   8.8661875E+05   9.5464031E+05   8.8589344E+05
    1.0850   1.0782659E+06   1.1685068E+06   1.0789404E+06   8.8637188E+05   9.5518294E+05   8.8562825E+05
    1.0900   1.0780605E+06   1.1690228E+06   1.0785982E+06   8.8612206E+05   9.5572806E+05   8.8536294E+05
    1.0950   1.0778561E+06   1.1695405E+06   1.0782528E+06   8.8586931E+05   9.5627562E+05   8.8509750E+05
    1.1000   1.0776522E+06   1.1700600E+06   1.0779041E+06   8.8561369E+05   9.5682556E+05   8.8483194E+05
    1.1050   1.0774490E+06   1.1705814E+06   1.0775526E+06   8.8535525E+05   9.5737775E+05   8.8456612E+05
    1.1100   1.0772460E+06   1.1711048E+06   1.0771982E+06   8.8509406E+05   9.5793219E+05   8.8430000E+05
    1.1150   1.0770432E+06   1.1716299E+06   1.0768414E+06   8.8483019E+05   9.5848869E+05   8.8403362E+05
    1.1200   1.0768406E+06   1.1721571E+06   1.0764820E+06   8.8456362E+05   9.5904731E+05   8.8376688E+05
    1.1250   1.0766378E+06   1.1726864E+06   1.0761205E+06   8.8429450E+05   9.5960788E+05   8.8349969E+05
